"X","BA","BE","GP","TI","SO","CT","CY","CL","SP","HO","Scope","Method","DevelopmentalStage","Study.Focus","Expt.Factors","Conservation.Relevance","Partner","FocalSpp","Focal.Fam","AB","SN","EI","BN","PD","PY","VL","IS","BP","EP","AR","DI","D2","EA","UT","PM","OA","HC","HP","DA","Expt.Factors.Stress","NumStress","Interaction","NumStressInt"
"Brown, T; Bourne, D; Rodriguez-Lanetty, M",NA,NA,NA,"Transcriptional Activation of c3 and hsp70 as Part of the Immune Response of Acropora millepora to Bacterial Challenges","PLOS ONE","","","","","","single organism","qRT-PCR","adult","disease","pathogen","biomarker","Coral host","Acropora millepora","Acroporidae","The impact of disease outbreaks on coral physiology represents an increasing concern for the fitness and resilience of reef ecosystems. Predicting the tolerance of corals to disease relies on an understanding of the coral immune response to pathogenic interactions. This study explored the transcriptional response of two putative immune genes (c3 and c-type lectin) and one stress response gene (hsp70) in the reef building coral, Acropora millepora challenged for 48 hours with bacterial strains, Vibrio coralliilyticus and Alteromonas sp. at concentrations of 10(6) cells ml(-1). Coral fragments challenged with V. coralliilyticus appeared healthy while fragments challenged with Alteromonas sp. showed signs of tissue lesions after 48 hr. Coral-associated bacterial community profiles assessed using denaturing gradient gel electrophoresis changed after challenge by both bacterial strains with the Alteromonas sp. treatment demonstrating the greatest community shift. Transcriptional profiles of c3 and hsp70 increased at 24 hours and correlated with disease signs in the Alteromonas sp. treatment. The expression of hsp70 also showed a significant increase in V. coralliilyticus inoculated corals at 24 h suggesting that even in the absence of disease signs, the microbial inoculum activated a stress response in the coral. C-type lectin did not show a response to any of the bacterial treatments. Increase in gene expression of c3 and hsp70 in corals showing signs of disease indicates their potential involvement in immune and stress response to microbial challenges.","1932-6203","",NA,"4-Jul",2013,8,"7",NA,"","e67246","10.1371/journal.pone.0067246",NA,"","WOS:000323350700010",23861754,NA,NA,NA,NA,"pathogen",1,"none",1
"Connelly, MT; McRae, CJ; Liu, PJ; Traylor-Knowles, N",NA,NA,NA,"Lipopolysaccharide treatment stimulates Pocillopora coral genotype-specific immune responses but does not alter coral-associated bacteria communities","DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY","","","","","","single organism","shotgun RNAseq","adult","short term stress","pathogen",NA,"Coral host","Pocillopora damicornis;Pocillopora acuta","Pocilloporidae","Corals are comprised of a coral host and associated microbes whose interactions are mediated by the coral innate immune system. The diversity of immune factors identified in the Pocillopora damicornis genome suggests that immunity is linked to maintaining microbial symbioses while also being able to detect pathogens. However, it is unclear which immune factors respond to specific microbe-associated molecular patterns and how these immune reactions simultaneously affect coral-associated bacteria. To investigate this, fragments of P. damicornis and P. acuta colonies from Taiwan were subjected to lipopolysaccharide (LPS) treatment to stimulate immune responses and measure bacteria community shifts. RNA-seq revealed genotype-specific immune responses to LPS involving the upregulation of immune receptors, transcription factors, and pore-forming toxins. Bacteria 16S sequencing revealed significantly different bacteria communities between coral genotypes but no differences in bacteria communities were caused by LPS. Our findings confirm that Pocillopora corals activate conserved immune factors in response to LPS and identify transcription factors coordinating Pocillopora corals' immune responses. Additionally, the strong effect of coral genotype on gene expression and bacteria communities highlights the importance of coral genotype in the investigation of coral host-microbe interactions.","0145-305X","1879-0089",NA,"AUG",2020,109,"",NA,"","103717","10.1016/j.dci.2020.103717",NA,"","WOS:000532168100004",32348787,NA,NA,NA,NA,"pathogen",1,"none",1
"Takagi, T; Yoshioka, Y; Zayasu, Y; Satoh, N; Shinzato, C",NA,NA,NA,"Transcriptome Analyses of Immune System Behaviors in Primary Polyp of CoralAcropora digitiferaExposed to the Bacterial PathogenVibrio coralliilyticusunder Thermal Loading","MARINE BIOTECHNOLOGY","","","","","","single organism","shotgun RNAseq","adult","short term stress;disease","pathogen","biomarker","Coral host","Acropora digitifera","Acroporidae","Elevated sea surface temperature associated with global warming is a serious threat to coral reefs. Elevated temperatures directly or indirectly alter the distribution of coral-pathogen interactions and thereby exacerbate infectious coral diseases. The pathogenic bacteriumVibrio coralliilyticusis well-known as a causative agent of infectious coral disease. Rising sea surface temperature promotes the infection of corals by this bacterium, which causes several coral pathologies, such as bacterial bleaching, tissue lysis, and white syndrome. However, the effects of thermal stress on coral immune responses to the pathogen are poorly understood. To delineate the effects of thermal stress on coral immunity, we performed transcriptome analysis of aposymbiotic primary polyps of the reef-building coralAcropora digitiferaexposed toV. coralliilyticusunder thermal stress conditions.V. coralliilyticusinfection of coral that was under thermal stress had negative effects on various molecular processes, including suppression of gene expression related to the innate immune response. In response to the pathogen, the coral mounted various responses including changes in protein metabolism, exosome release delivering signal molecules, extracellular matrix remodeling, and mitochondrial metabolism changes. Based on these results, we provide new insights into innate immunity ofA. digitiferaagainst pathogen infection under thermal stress conditions.","1436-2228","1436-2236",NA,"DEC",2020,22,"6",748,"759","","10.1007/s10126-020-09984-1",NA,"Jul-20","WOS:000551047200001",32696240,NA,NA,NA,NA,"pathogen",1,"none",1
"Tracy, AM; Weil, E; Burge, CA",NA,NA,NA,"Ecological Factors Mediate Immunity and Parasitic Co-Infection in Sea Fan Octocorals","FRONTIERS IN IMMUNOLOGY","","","","","","single organism","qRT-PCR","adult","disease","pathogen",NA,"Coral host","Gorgonia ventalina","Gorgoniidae","The interplay among environment, demography, and host-parasite interactions is a challenging frontier. In the ocean, fundamental changes are occurring due to anthropogenic pressures, including increased disease outbreaks on coral reefs. These outbreaks include multiple parasites, calling into question how host immunity functions in this complex milieu. Our work investigates the interplay of factors influencing co-infection in the Caribbean sea fan octocoral, Gorgonia ventalina, using metrics of the innate immune response: cellular immunity and expression of candidate immune genes. We used existing copepod infections and live pathogen inoculation with the Aspergillus sydowii fungus, detecting increased expression of the immune recognition gene Tachylectin 5A (T5A) in response to both parasites. Cellular immunity increased by 8.16% in copepod infections compared to controls and single Aspergillus infections. We also detected activation of cellular immunity in reef populations, with a 13.6% increase during copepod infections. Cellular immunity was similar in the field and in the lab, increasing with copepod infections and not the fungus. Amoebocyte density and the expression of T5A and a matrix metalloproteinase (MMP) gene were also positively correlated across all treatments and colonies, irrespective of parasitic infection. We then assessed the scaling of immune metrics to population-level disease patterns and found random co-occurrence of copepods and fungus across 15 reefs in Puerto Rico. The results suggest immune activation by parasites may not alter parasite co-occurrence if factors other than immunity prevail in structuring parasite infection. We assessed non-immune factors in the field and found that sea fan colony size predicted infection by the copepod parasite. Moreover, the effect of infection on immunity was small relative to that of site differences and live coral cover, and similar to the effect of reproductive status. While additional immune data would shed light on the extent of this pattern, ecological factors may play a larger role than immunity in controlling parasite patterns in the wild. Parsing the effects of immunity and ecological factors in octocoral co-infection shows how disease depends on more than one host and one parasite and explores the application of co-infection research to a colonial marine organism.","1664-3224","",NA,"11-Jan",2021,11,"",NA,"","608066","10.3389/fimmu.2020.608066",NA,"","WOS:000610831500001",33505396,NA,NA,NA,NA,"pathogen",1,"none",1
"Fuess, LE; Butler, CC; Brandt, ME; Mydlarz, LD",NA,NA,NA,"Investigating the roles of transforming growth factor-beta in immune response of Orbicella faveolata, a scleractinian coral","DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY","","","","","","single organism","shotgun RNAseq","adult","disease","pathogen",NA,"Coral host","Orbicella faveolata","Merulinidae","Symbiotic relationships range from parasitic to mutualistic, yet all endosymbionts face similar challenges, including evasion of host immunity. Many symbiotic organisms have evolved similar mechanisms to face these challenges, including manipulation of the host's transforming growth factor-beta (TGF beta) pathway. Here we investigate the TGF beta pathway in scelaractinian corals which are dependent on symbioses with dinoflagellates from the family Symbiodiniaceae. Using the Caribbean coral, Orbicella faveolata, we explore the effects of enhancement and inhibition of the TGF beta pathway on host gene expression. Following transcriptomic analyses, we demonstrated limited effects of pathway manipulation in absence of immune stimulation. However, manipulation of the TGF beta pathway significantly affects the subsequent ability of host corals to mount an immune response. Enhancement of the TGF beta pathway eliminates transcriptomic signatures of host coral immune response, while inhibition of the pathway maintains the response. This is, to our knowledge, the first evidence of an immunomodulatory role for TGF beta in a scelaractinian coral. These findings suggest variation in TGF beta signaling may have implications in the face of increasing disease prevelance. Our results suggest that the TGF beta pathway can modulate tradeoffs between symbiosis and immunity. Further study of links between symbiosis, TGF beta, and immunity is needed to better understand the ecological implications of these findings.","0145-305X","1879-0089",NA,"JUN",2020,107,"",NA,"","103639","10.1016/j.dci.2020.103639",NA,"","WOS:000527336800003",32027869,NA,NA,NA,NA,"pathogen",1,"none",1
"Vidal-Dupiol, J; Ladriere, O; Destoumieux-Garzon, D; Sautiere, PE; Meistertzheim, AL; Tambutte, E; Tambutte, S; Duval, D; Foure, L; Adjeroud, M; Mitta, G",NA,NA,NA,"Innate Immune Responses of a Scleractinian Coral to Vibriosis","JOURNAL OF BIOLOGICAL CHEMISTRY","","","","","","single organism","qRT-PCR","adult","disease","pathogen",NA,"Coral host","Pocillopora damicornis","Pocilloporidae","Scleractinian corals are the most basal eumetazoan taxon and provide the biological and physical framework for coral reefs, which are among the most diverse of all ecosystems. Over the past three decades and coincident with climate change, these phototrophic symbiotic organisms have been subject to increasingly frequent and severe diseases, which are now geographically widespread and a major threat to these ecosystems. Although coral immunity has been the subject of increasing study, the available information remains fragmentary, especially with respect to coral antimicrobial responses. In this study, we characterized damicornin from Pocillopora damicornis, the first scleractinian antimicrobial peptide (AMP) to be reported. We found that its precursor has a segmented organization comprising a signal peptide, an acidic proregion, and the C-terminal AMP. The 40-residue AMP is cationic, C-terminally amidated, and characterized by the presence of six cysteine molecules joined by three intramolecular disulfide bridges. Its cysteine array is common to another AMP and toxins from cnidarians; this suggests a common ancestor, as has been proposed for AMPs and toxins from arthropods. Damicornin was active in vitro against Gram-positive bacteria and the fungus Fusarium oxysporum. Damicornin expression was studied using a combination of immunohistochemistry, reverse phase HPLC, and quantitative RT-PCR. Our data show that damicornin is constitutively transcribed in ectodermal granular cells, where it is stored, and further released in response to nonpathogenic immune challenge. Damicornin gene expression was repressed by the coral pathogen Vibrio coralliilyticus. This is the first evidence of AMP gene repression in a host-Vibrio interaction.","","1083-351X",NA,"24-Jun",2011,286,"25",22688,"22698","","10.1074/jbc.M110.216358",NA,"","WOS:000291719900075",21536670,NA,NA,NA,NA,"pathogen",1,"none",1
"Williams, LM; Fuess, LE; Brennan, JJ; Mansfield, KM; Salas-Rodriguez, E; Welsh, J; Awtry, J; Banic, S; Chacko, C; Chezian, A; Dowers, D; Estrada, F; Hsieh, YH; Kang, JW; Li, WW; Malchiodi, Z; Malinowski, J; Matuszak, S; McTigue, T; Mueller, D; Nguyen, B; Nguyen, M; Nguyen, P; Nguyen, S; Njoku, N; Patel, K; Pellegrini, W; Pliakas, T; Qadir, D; Ryan, E; Schiffer, A; Thiel, A; Yunes, SA; Spilios, KE; Pinzon, JH; Mydlarz, LD; Gilmore, TD",NA,NA,NA,"A conserved Toll-like receptor-to-NF-kappa B signaling pathway in the endangered coral Orbicella faveolata","DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY","","","","","","single organism","shotgun RNAseq","adult","disease","pathogen",NA,"Coral host","Orbicella faveolata","Merulinidae","Herein, we characterize the Toll-like receptor (TLR)-to-NF-kappa B innate immune pathway of Orbicella faveolata (Of), which is an ecologically important, disease-susceptible, reef-building coral. As compared to human TLRs, the intracellular TIR domain of Of-TLR is most similar to TLR4, and it can interact in vitro with the human TLR4 adapter MYD88. Treatment of O. faveolata tissue with lipopolysaccharide, a ligand for mammalian TLR4, resulted in gene expression changes consistent with NF-kappa B pathway mobilization. Biochemical and cell-based assays revealed that Of-NB-kappa B resembles the mammalian non-canonical NF-kappa B protein p100 in that C-terminal truncation results in translocation of Of-NF-kappa B to the nucleus and increases its DNA-binding and transcriptional activation activities. Moreover, human I kappa B kinase (IKK) and Of-IKK can both phosphorylate conserved residues in Of-NF-kappa B in vitro and induce C-terminal processing of Of-NF-kappa B in vivo. These results are the first characterization of TLR-to-NF-kappa B signaling proteins in an endangered coral, and suggest that these corals have conserved innate immune pathways. (C) 2017 Elsevier Ltd. All rights reserved.","0145-305X","1879-0089",NA,"FEB",2018,79,"",128,"136","","10.1016/j.dci.2017.10.016",NA,"","WOS:000422811500014",29080785,NA,NA,NA,NA,"pathogen",1,"none",1
"Libro, S; Vollmer, SV",NA,NA,NA,"Genetic Signature of Resistance to White Band Disease in the Caribbean Staghorn Coral Acropora cervicornis","PLOS ONE","","","","","","single organism","shotgun RNAseq","adult","disease;intercolony variation","pathogen;genotype","intra-population variation","Coral host","Acropora cervicornis","Acroporidae","Coral reefs are declining worldwide due to multiple factors including rising sea surface temperature, ocean acidification, and disease outbreaks. Over the last 30 years, White Band Disease (WBD) alone has killed up to 95% of the Caribbean's dominant shallow-water corals-the staghorn coral Acropora cervicornis and the elkhorn coral A. palmata. Both corals are now listed on the US Endangered Species Act, and while their recovery has been slow, recent transmission surveys indicate that more than 5% of staghorn corals are disease resistant. Here we compared transcriptome-wide gene expression between resistant and susceptible staghorn corals exposed to WBD using in situ transmission assays. We identified constitutive gene expression differences underlying disease resistance that are independent from the immune response associated with disease exposure. Genes involved in RNA interference-mediated gene silencing, including Argonaute were up-regulated in resistant corals, whereas heat shock proteins (HSPs) were down-regulated. Up-regulation of Argonaute proteins indicates that post-transcriptional gene silencing plays a key, but previously unsuspected role in coral immunity and disease resistance. Constitutive expression of HSPs has been linked to thermal resilience in other Acropora corals, suggesting that the down-regulation of HSPs in disease resistant staghorn corals may confer a dual benefit of thermal resilience.","1932-6203","",NA,"19-Jan",2016,11,"1",NA,"","e0146636","10.1371/journal.pone.0146636",NA,"","WOS:000368528400055",26784329,NA,NA,NA,NA,"pathogen",1,"none",1
"Wright, RM; Kenkel, CD; Dunn, CE; Shilling, EN; Bay, LK; Matz, MV",NA,NA,NA,"Intraspecific differences in molecular stress responses and coral pathobiome contribute to mortality under bacterial challenge in Acropora millepora","SCIENTIFIC REPORTS","","","","","","single organism","tag-based RNAseq;qRT-PCR","adult","disease","pathogen;injury","biomarker","Coral host","Acropora millepora","Acroporidae","Disease causes significant coral mortality worldwide; however, factors responsible for intraspecific variation in disease resistance remain unclear. We exposed fragments of eight Acropora millepora colonies (genotypes) to putatively pathogenic bacteria (Vibrio spp.). Genotypes varied from zero to >90% mortality, with bacterial challenge increasing average mortality rates 4-6 fold and shifting the microbiome in favor of stress-associated taxa. Constitutive immunity and subsequent immune and transcriptomic responses to the challenge were more prominent in high-mortality individuals, whereas low-mortality corals remained largely unaffected and maintained expression signatures of a healthier condition (i.e., did not launch a large stress response). Our results suggest that lesions appeared due to changes in the coral pathobiome (multiple bacterial species associated with disease) and general health deterioration after the biotic disturbance, rather than the direct activity of any specific pathogen. If diseases in nature arise because of weaknesses in holobiont physiology, instead of the virulence of any single etiological agent, environmental stressors compromising coral condition might play a larger role in disease outbreaks than is currently thought. To facilitate the diagnosis of compromised individuals, we developed and independently cross-validated a biomarker assay to predict mortality based on genes whose expression in asymptomatic individuals coincides with mortality rates.","2045-2322","",NA,"1-Jun",2017,7,"",NA,"","2609","10.1038/s41598-017-02685-1",NA,"","WOS:000402508300020",28572677,NA,NA,NA,NA,"pathogen;injury",2,"none",2
"Vidal-Dupiol, J; Ladriere, O; Meistertzheim, AL; Foure, L; Adjeroud, M; Mitta, G",NA,NA,NA,"Physiological responses of the scleractinian coral Pocillopora damicornis to bacterial stress from Vibrio coralliilyticus","JOURNAL OF EXPERIMENTAL BIOLOGY","","","","","","single organism","qRT-PCR","adult","disease;moderate term stress","pathogen;temperature;pathogen x temperature","biomarker","Coral host","Pocillopora damicornis","Pocilloporidae","As the effects of climate change have become increasingly visible over the past three decades, coral reefs have suffered from a number of natural and anthropogenic disturbances that have caused a critical decline in coral populations. Among these disturbances are coral diseases, which have appeared with increasing frequency and severity, often in correlation with increases in water temperature. Although the crucial role played by Vibrio species in coral disease has been widely documented, the scientific community does not yet fully understand the infection process of Vibrio or its impact on coral physiology and immunology. Here, we investigated the physiological and transcriptomic responses of a major reef-building coral, Pocillopora damicornis, when exposed to a specific pathogen (Vibrio coralliilyticus) under virulent (increasing water temperature) and non-virulent (constant low temperature) conditions. The infection process was examined by electron microscopy and quantitative reverse-transcription PCR, and coral health was monitored by visual observations and measurements of zooxanthellar density. The results obtained suggest that coral tissue invasion occurs upon increasing water temperature only. Transcriptomic variations were investigated using a suppression-subtractive-hybridization approach, and the expression levels of six candidate immune-related genes were examined during bacterial exposure. These genes correspond to three lectin-like molecules putatively involved in the recognition of pathogens, two metal-binding proteins putatively involved in antibacterial response and one cystein protease inhibitor. The transcription patterns of these selected genes provide new insights into the responses of coral colonies to virulent versus non-virulent bacteria.","0022-0949","1477-9145",NA,"MAY",2011,214,"9",1533,"1545","","10.1242/jeb.053165",NA,"","WOS:000289477400021",21490261,NA,NA,NA,NA,"pathogen;temperature;pathogen x temperature",3,"interaction",2
"Xiao, R; Zhou, HL; Chen, CM; Cheng, HM; Li, HW; Xie, J; Zhao, HW; Han, Q; Diao, XP",NA,NA,NA,"Transcriptional responses of Acropora hyacinthus embryo under the benzo(a)pyrene stress by deep sequencing","CHEMOSPHERE","","","","","","single organism","shotgun RNAseq","adult","short term stress","pollutants","biomarker","Coral host","Acropora hyacinthus","Acroporidae","Coral embryos are a critical and sensitive period for the early growth and development of coral. Benzo(a) pyrene (BaP) is widely distributed in the ocean and has strong toxicity, but there is little information on the toxic effects to coral embryos exposed to this widespread environmental contaminant. Thus, in this study, we utilized the Illumina Hiseg(TM) 4000 platform to explore the gene response of Acropora hyacinthus embryos under the BaP stress. A total of 130,042 Unigenes were obtained and analyzed, and approximately 37.67% of those matched with sequences from four different species. In total, 2606 Unigenes were up-regulated, and 3872 Unigenes were down-regulated. After Gene Ontology (GO) annotation, the results show that the ""cellular process"" and ""metabolic process"" were leading in the category of biological processes, which the ""binding"" and ""catalytic activity"" were the most abundant subcategories in molecular function. Based on the Kyoto Encyclopedia of Genes and Genomes (KEGG) analysis, the most differentially expressed genes (DEGs) were enriched, as well as down-regulated in the pathways of oxidative phosphorylation, metabolism of xenobiotics, immune-related genes, apoptosis and human disease genes. At the same time, 388,197 of Single-nucleotide Polymorphisms (SNPs) and 6164 of Simple Sequence Repeats (SSRs) were obtained, which can be served as the richer and more valuable SSRs molecular markers in the future. The results of this study can help to better understand the toxicological mechanism of coral embryo exposed to BaP, and it is also essential for the protection and restoration of coral reef ecosystem in the future. (C) 2018 Elsevier Ltd. All rights reserved.","0045-6535","1879-1298",NA,"SEP",2018,206,"",387,"397","","10.1016/j.chemosphere.2018.04.149",NA,"","WOS:000436215600044",29754063,NA,NA,NA,NA,"pollutants",1,"none",1
"Schwarz, JA; Mitchelmore, CL; Jones, R; O'Dea, A; Seymour, S",NA,NA,NA,"Exposure to copper induces oxidative and stress responses and DNA damage in the coral Montastraea franksi","COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY","","","","","","single organism","microarray","adult","short term stress","pollutants",NA,"Coral host","Orbicella franksi","Merulinidae","Copper is a common chemical contaminant in coastal environments, including coral reefs. Ecotoxicological studies have demonstrated that exposure to copper can cause stress and detrimental effects in both host cnidarian and algal symbionts. The objective of this study was to investigate the sublethal effects of copper on the reef-building coral Montastraea franksi, by identifying genes with altered expression in corals exposed to dissolved copper, and by measuring the extent of damage to DNA in response to copper exposure. Corals exposed to 30 mu g L-1 copper for 48 h experienced significant DNA damage and displayed changes in expression patterns of genes that are known to play role cellular and oxidative stress responses. Corals also experienced changes in gene expression of genes that are not already known to play roles in oxidative stress in corals. Our data suggest that these genes may either play roles directly in mediating a stress response, or may be genes acting downstream of the stress response. These include an ETS domain-containing transcription factor related to the ETS1 family of transcription factors, known in mammals to mediate development, disease, and stress response, and two genes that are associated with biomineralization: galaxin, a protein from the organic matrix of the coral skeleton, and a coral-specific gene SCRIP2. (C) 2012 Elsevier Inc. All rights reserved.","1532-0456","1878-1659",NA,"APR",2013,157,"3",272,"279","","10.1016/j.cbpc.2012.12.003",NA,"","WOS:000317449800003",23268349,NA,NA,NA,NA,"pollutants",1,"none",1
"DeLeo, DM; Herrera, S; Lengyel, SD; Quattrini, A; Kulathinal, RJ; Cordes, EE",NA,NA,NA,"Gene expression profiling reveals deep-sea coral response to the Deepwater Horizon oil spill","MOLECULAR ECOLOGY","","","","","","single organism","shotgun RNAseq","adult","short term stress","pollutants","biomarker","Coral host","Paramuricea biscaya","Plexauridae","Deep-sea coral communities are key components of the Gulf of Mexico ecosystem and were adversely affected by the Deepwater Horizon (DWH) oil spill. Coral colonies exposed to oil and dispersant exhibited mortality, damage and physiological signatures of stress. Understanding how corals respond to oil and dispersant exposure at the molecular level is important to elucidate the sublethal effects of the DWH disaster and reveal broader patterns of coral stress responses. Gene expression profiles from RNAseq data were compared between corals at an impacted site and from a reference site. A total of 1,439 differentially expressed genes (twofold) were shared among impacted Paramuricea biscaya colonies. Genes involved in oxidative stress, immunity, wound repair, tissue regeneration and metabolism of xenobiotics were significantly differentially expressed in impacted corals. Enrichment among the overexpressed genes indicates the corals were enduring high metabolic demands associated with cellular stress responses and repair mechanisms. Underexpression of genes vital to toxin processing also suggests a diminished capacity to cope with environmental stressors. Our results provide evidence that deep-sea corals exhibited genome-wide cellular stress responses to oil and dispersant exposure and demonstrate the utility of next-generation sequencing for monitoring anthropogenic impacts in deep waters. These analyses will facilitate the development of diagnostic markers for oil and dispersant exposure in deep-sea invertebrates and inform future oil spill response efforts.","0962-1083","1365-294X",NA,"OCT",2018,27,"20",4066,"4077","","10.1111/mec.14847",NA,"","WOS:000448182400008",30137660,NA,NA,NA,NA,"pollutants",1,"none",1
"Morgan, MB; Vogelien, DL; Snell, TW",NA,NA,NA,"Assessing coral stress responses using molecular biomarkers of gene transcription","ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","","","","","","single organism","qRT-PCR","adult","short term stress","pollutants","biomarker","Coral host","Acropora cervicornis","Acroporidae","We present a method for detecting rapid changes in coral gene expression at the messenger ribonucleic acid (mRNA) level. The staghorn coral Acropora cervicornis was exposed to 1 and 10 mug/L permethrin and 25 and 50 mug/L copper for 4 h. Using differential display polymerase chain reaction (PCR), mRNA associated with each toxicant exposure were reverse transcribed into complementary DNA (cDNA) fragments that were subsequently amplified and isolated. Six differentially expressed cDNA fragments were further developed into molecular probes that were used in Northern dot blots to determine the change in transcription levels of target transcripts. Changes in mRNA abundance were quantified by densitometry of chemiluminescence of digoxigenin-labeled probes hybridizing to target mRNA transcripts. The six gene probes showed varying degrees of sensitivity to the toxicants as well as specificity between toxicants. These probes were hybridized in Southern blots to genomic DNA from A. Formosa sperm, which lacks zooxanthellae, to demonstrate that the genes coding for the mRNA transcripts produced are found within the coral genome. The gene probes developed in this study provide coral biologists with a new tool for coral assessment. Gene probes are sensitive, toxicant-specific biomarkers of coral stress responses with which gene sequence information can be obtained, providing a mechanism for identifying the stressor altering the gene expression.","0730-7268","1552-8618",NA,"MAR",2001,20,"3",537,"543","","10.1002/etc.5620200312",NA,"","WOS:000170165600012",11349854,NA,NA,NA,NA,"pollutants",1,"none",1
"Venn, AA; Quinn, J; Jones, R; Bodnar, A",NA,NA,NA,"P-glycoprotein (multi-xenobiotic resistance) and heat shock protein gene expression in the reef coral Montastraea franksi in response to environmental toxicants","AQUATIC TOXICOLOGY","","","","","","single organism","qRT-PCR","adult","short term stress","pollutants","biomarker","Coral host","Orbicella franksi","Merulinidae","The deleterious impacts of marine pollutants on reef corals and their symbiotic algae are an important element of global coral reef decline. In the current study we examined the impacts of toxicants on the reef coral Montastraea franksi by analysing the expression of three stress-related genes belonging to the coral host, using Taqman real-time quantitative reverse transcription-PCR. Gene expression profiles of P-glycoprotein (or multi-xenobiotic resistance protein) (P-gp); heat shock protein 70 (Hsp70) and heat shock protein 90 (Hsp90) were examined following 4 and 8 h exposures to the heavy metal copper(3,10,30 and 100 mu g L-1) or the third generation oil dispersant Corexit (TM) 9527 (1, 5, 10 and 50 ppm). Additionally, the expression of P-gp was examined following exposure to 0.5 and 5 mu M concentrations of the chemotherapeutic drug vinblastine, a classic Substrate of P-gp. The expression of P-gp increased significantly in corals treated with vinblastine and also increased following exposure to copper and Corexit (TM) 9527. Hsp70, and to a lesser extent Hsp90 expression increased following exposure to copper and Corexit (TM) 9527 indicating a general cellular stress response. Densities of symbiotic algae in the tissues of the corals did not change significantly during the experiments, nor was any loss or paling of coral tissues observed. These findings provide important insight into how corals defend themselves against pollution and complement ongoing initiatives developing molecular biomarkers of stress in reef-building corals. (C) 2009 Elsevier B.V. All rights reserved.","0166-445X","1879-1514",NA,"26-Jul",2009,93,"4",188,"195","","10.1016/j.aquatox.2009.05.003",NA,"","WOS:000269095100002",19501419,NA,NA,NA,NA,"pollutants",1,"none",1
"Ruiz-Ramos, DV; Fisher, CR; Baums, IB",NA,NA,NA,"Stress response of the black coral Leiopathes glaberrima when exposed to sub-lethal amounts of crude oil and dispersant","ELEMENTA-SCIENCE OF THE ANTHROPOCENE","","","","","","single organism","shotgun RNAseq","adult","short term stress","pollutants","biomarker","Coral host","Leiopathes glaberrima","Leiopathidae","The 2010 Deep Water Horizon oil well failure released billions of gallons of crude oil into the deep Gulf of Mexico, and, combined with chemical dispersants, this oil caused significant coral mortality. However, the mechanisms by which oil and dispersed oil impact deep marine fauna are not well understood. Here, we investigate the effects of oil and dispersed oil on a black coral common in the deep Gulf of Mexico, Leiopathes glaberrima. This coral occurs in several color morphs that show ecological and genetic differences. We hypothesized that dispersed oil would be more detrimental to coral health than oil alone and that this difference would be detectable in the gene expression response of the colonies even at sub-lethal concentrations. In two experiments, four and six colonies of red and white color morphs were exposed to oil, dispersant, and dispersed oil for a minimum of 96 hours. Visual assessment indicated that indeed dispersant and dispersed oil treatments were more damaging than oil alone, for target concentrations of 25 mg L-1. Decline in health was observed for all treatments, independently of color morphotype, but the decline was faster in the white colonies exposed to dispersant. The responses to the treatments were also investigated by monitoring gene expression after 24 hours of sub-lethal chemical exposure. Coral gene expression differed by chemical stressor. Interestingly, the polycyclic aromatic hydrocarbon biomarker gene, cytochrome P450, was only up-regulated in dispersed oil but not oil alone, suggesting that the dispersant increased the availability of such hydrocarbons in the tissue. The gene expression response was apparent at 24 hours when visual impacts were not (yet) detectable. The use of chemical dispersants in oil-spill remediation may cause health declines in deep-water corals and deserves further study.","2325-1026","",NA,"14-Dec",2017,5,"",NA,"","77","10.1525/elementa.261",NA,"","WOS:000417894900001",NA,NA,NA,NA,NA,"pollutants",1,"none",1
